,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
363,2019,1,Chaco,ADSL,53000,Noreste,4.65,18.6
364,2019,1,Chubut,ADSL,37000,Sur,6.14,24.56
365,2019,1,Córdoba,ADSL,323000,Centro,9.76,39.04
366,2019,1,Corrientes,ADSL,56000,Noreste,4.68,18.72
367,2019,1,Entre Ríos,ADSL,101000,Centro,7.08,28.32
368,2019,1,Formosa,ADSL,23000,Noreste,4.34,17.36
369,2019,1,Jujuy,ADSL,33000,Noroeste,4.14,16.56
370,2019,1,La Pampa,ADSL,19000,Oeste,5.19,20.76
371,2019,1,La Rioja,ADSL,16000,Oeste,5.08,20.32
372,2019,1,Mendoza,ADSL,149000,Oeste,8.56,34.24
373,2019,1,Misiones,ADSL,55000,Noreste,4.3,17.2
374,2019,1,Neuquén,ADSL,41000,Sur,5.65,22.6
375,2019,1,Río Negro,ADSL,68000,Sur,8.92,35.68
376,2019,1,Salta,ADSL,74000,Noroeste,5.14,20.56
377,2019,1,San Juan,ADSL,52000,Oeste,6.36,25.44
378,2019,1,San Luis,ADSL,11000,Oeste,2.04,8.16
379,2019,1,Santa Cruz,ADSL,11000,Sur,3.3,13.2
380,2019,1,Santa Fe,ADSL,340000,Centro,10.0,40.0
381,2019,1,Santiago Del Estero,ADSL,25000,Noreste,2.37,9.48
382,2019,1,Tierra Del Fuego,ADSL,20000,Sur,10.53,42.12
383,2019,1,Tucumán,ADSL,159000,Noroeste,6.46,25.84
384,2018,4,Buenos Aires,ADSL,1000000,Centro,5.69,22.76
385,2018,4,Capital Federal,ADSL,328000,Centro,10.51,42.04
386,2018,4,Catamarca,ADSL,27000,Noroeste,6.82,27.28
387,2018,4,Chaco,ADSL,53000,Noreste,4.65,18.6
388,2018,4,Chubut,ADSL,37000,Sur,6.14,24.56
389,2018,4,Córdoba,ADSL,329000,Centro,9.95,39.8
390,2018,4,Corrientes,ADSL,56000,Noreste,4.68,18.72
391,2018,4,Entre Ríos,ADSL,101000,Centro,7.08,28.32
392,2018,4,Formosa,ADSL,23000,Noreste,4.34,17.36
393,2018,4,Jujuy,ADSL,33000,Noroeste,4.14,16.56
394,2018,4,La Pampa,ADSL,19000,Oeste,5.19,20.76
395,2018,4,La Rioja,ADSL,16000,Oeste,5.08,20.32
